,YRN-16 01,YRN-16 02,YRN-16 03,YRN-16 04,YRN-16 05,T(YRN) YRN-16-1908 1,T(YRN) YRN-16-1908 2,T(YRN) YRN-16-1908 3,T(YRN) YRN-16-1908 4,T(YRN) YRN-16-1908 5
6.252713851,8.671133771,-1.531015671,5.981739368,24.38095049,1.550125588,-0.126097512,13.25189701,-3.339586639,17.92826967,19.46368056
6.339557099,9.174876197,-1.442402179,5.985542069,25.10843632,1.612709579,-0.027224387,13.77570476,-3.279583696,18.29729757,20.17699225
6.426400347,9.786501479,-1.353788686,5.98934477,25.83592215,1.67529357,0.071648738,14.29951252,-3.219580752,18.66632546,20.89030394
6.513243595,10.39812676,-1.265175194,5.993147471,26.56340798,1.73787756,0.170521863,14.82332027,-3.159577809,19.03535335,21.60361564
6.600086843,11.00975204,-1.176561702,5.996950172,27.29089381,1.800461551,0.269394988,15.34712802,-3.099574865,19.40438124,22.31692733
6.686930091,11.62137732,-1.08794821,6.000752873,28.01837964,1.863045541,0.368268114,15.87093577,-3.039571922,19.77340913,23.03023902
6.773773339,12.2330026,-0.999334717,6.004555574,28.74586547,1.925629532,0.467141239,16.39474353,-2.979568978,20.14243702,23.74355071
6.860616587,12.84462788,-0.910721225,6.008358275,29.4733513,1.988213523,0.566014364,16.91855128,-2.919566035,20.51146491,24.45686241
6.947459835,13.45625317,-0.822107733,6.012160976,30.20083713,2.050797513,0.664887489,17.44235903,-2.859563091,20.8804928,25.1701741
7.034303083,14.06787845,-0.73349424,6.015963677,30.92832296,2.113381504,1.316936377,17.96616679,-2.799560148,21.24952069,25.88348579
7.121146331,14.67950373,-0.644880748,6.019766379,31.6558088,2.175965494,2.017304833,18.48997454,-2.739557204,21.61854858,26.59679748
7.207989579,15.29112901,-0.556267256,6.02356908,32.38329463,2.238549485,2.71767329,19.01378229,-2.679554261,21.98757647,27.31010918
7.294832827,15.90275429,-0.467653764,6.027371781,33.11078046,2.301133476,3.418041747,19.53759004,-2.619551317,22.35660436,28.02342087
7.381676075,16.51437957,-0.379040271,6.031174482,33.83826629,2.363717466,4.118410204,20.0613978,-2.559548374,22.72563225,28.73673256
